iter	Passed	Remaining
192	535	2237
193	536	2227
194	537	2217
195	538	2206
196	538	2196
197	539	2186
198	540	2176
199	541	2166
200	542	2156
201	543	2147
202	544	2138
203	545	2129
204	546	2120
205	547	2110
206	548	2101
207	549	2092
208	550	2083
209	551	2074
210	552	2065
211	553	2057
212	554	2048
213	555	2040
214	556	2031
215	557	2023
216	558	2016
217	559	2008
218	560	1999
219	561	1991
220	562	1983
221	563	1974
222	564	1966
223	565	1958
224	566	1950
225	567	1942
226	568	1934
227	569	1926
228	570	1919
229	571	1911
230	571	1904
231	573	1897
232	574	1889
233	575	1883
234	576	1876
235	577	1869
236	578	1861
237	579	1854
238	580	1847
239	581	1840
240	581	1832
241	582	1825
242	583	1818
243	584	1811
244	585	1804
245	586	1797
246	587	1790
247	588	1783
248	589	1776
249	590	1770
250	590	1763
251	591	1756
252	592	1749
253	593	1743
254	594	1736
255	595	1729
256	596	1723
257	597	1717
258	597	1710
259	599	1704
260	600	1699
261	601	1693
262	602	1687
263	603	1682
264	604	1676
265	605	1670
266	606	1664
267	607	1658
268	608	1652
269	608	1646
270	610	1640
271	610	1635
272	611	1629
273	613	1624
274	614	1618
275	614	1613
276	616	1607
277	617	1602
278	618	1598
279	619	1592
280	620	1587
281	621	1581
282	622	1576
283	623	1571
284	624	1565
285	625	1560
286	625	1554
287	626	1549
288	627	1544
289	628	1539
290	629	1534
291	630	1529
292	632	1525
293	633	1520
294	634	1515
295	635	1510
296	636	1505
297	637	1500
298	638	1496
299	639	1491
300	640	1486
301	641	1481
302	642	1476
303	643	1472
304	644	1467
305	645	1462
306	645	1458
307	647	1454
308	648	1449
309	649	1445
310	650	1440
311	651	1436
312	652	1431
313	653	1427
314	654	1422
315	655	1418
316	656	1414
317	657	1409
318	658	1404
319	659	1400
320	659	1396
321	661	1391
322	662	1387
323	663	1383
324	664	1379
325	665	1375
326	666	1370
327	667	1366
328	668	1362
329	669	1358
330	670	1354
331	671	1350
332	671	1345
333	672	1341
334	673	1337
335	674	1333
336	675	1329
337	676	1325
338	677	1321
339	678	1317
340	679	1313
341	680	1310
342	681	1306
343	682	1302
344	683	1298
345	684	1294
346	685	1290
347	686	1286
348	687	1282
349	688	1279
350	690	1275
351	691	1272
352	692	1268
353	693	1264
354	694	1261
355	695	1257
356	695	1253
357	697	1249
358	698	1246
359	698	1242
360	700	1239
361	700	1235
362	701	1231
363	702	1228
364	704	1224
365	705	1222
366	706	1218
367	707	1215
368	708	1211
369	709	1208
370	710	1204
371	711	1200
372	712	1197
373	713	1193
374	714	1190
375	715	1187
376	716	1183
377	717	1180
378	718	1176
379	719	1173
380	720	1170
381	721	1166
382	722	1163
383	723	1159
384	724	1156
385	725	1153
386	725	1149
387	726	1146
388	728	1143
389	728	1140
390	729	1136
391	730	1133
392	731	1130
393	732	1127
394	733	1124
395	735	1121
396	735	1117
397	736	1114
398	737	1111
399	738	1108
400	739	1105
401	740	1102
402	741	1098
403	742	1095
404	743	1092
405	744	1089
406	745	1086
407	746	1083
408	747	1080
409	748	1077
410	749	1074
411	750	1071
412	751	1068
413	752	1065
414	753	1062
415	754	1059
416	755	1056
417	756	1053
418	757	1050
419	758	1047
420	759	1044
421	760	1042
422	761	1039
423	762	1036
424	763	1033
425	765	1030
426	766	1027
427	766	1025
428	767	1021
429	768	1019
430	769	1016
431	770	1013
432	771	1010
433	772	1007
434	773	1004
435	774	1002
436	775	999
437	776	996
438	777	993
439	778	991
440	779	988
441	780	985
442	781	982
443	782	979
444	783	977
445	784	974
446	785	971
447	786	968
448	787	966
449	788	963
450	789	960
451	790	957
452	791	955
453	791	952
454	792	949
455	794	947
456	795	944
457	795	941
458	796	939
459	798	936
460	799	934
461	799	931
462	801	929
463	802	926
464	803	924
465	804	921
466	805	918
467	806	916
468	807	913
469	808	911
470	809	909
471	810	906
472	811	903
473	812	901
474	813	898
475	814	896
476	815	893
477	815	891
478	816	888
479	817	885
480	818	883
481	819	881
482	820	878
483	821	875
484	822	873
485	823	871
486	824	868
487	825	866
488	826	863
489	827	861
490	828	858
491	829	856
492	830	854
493	831	851
494	832	849
495	833	846
496	834	844
497	835	841
498	836	839
499	837	837
500	838	835
501	839	832
502	840	830
503	841	828
504	842	825
505	843	823
506	844	820
507	845	818
508	846	816
509	847	813
510	848	811
511	848	809
512	849	806
513	850	804
514	852	802
515	853	800
516	854	798
517	855	795
518	856	793
519	857	791
520	858	789
521	859	786
522	860	784
523	861	782
524	862	779
525	862	777
526	863	775
527	864	773
528	865	770
529	867	768
530	868	766
531	869	764
532	870	762
533	871	760
534	872	758
535	873	756
536	874	753
537	875	751
538	876	749
539	877	747
540	878	744
541	878	742
542	879	740
543	881	738
544	882	736
545	883	734
546	884	732
547	885	730
548	886	727
549	886	725
550	887	723
551	888	721
552	889	719
553	890	717
554	891	714
555	892	712
556	893	710
557	894	708
558	895	706
559	896	704
560	897	702
561	898	700
562	899	698
563	900	696
564	901	694
565	902	692
566	903	690
567	904	688
568	905	685
569	906	683
570	907	681
571	908	679
572	909	677
573	910	675
574	911	673
575	912	671
576	913	670
577	914	667
578	915	665
579	916	663
580	917	661
581	918	659
582	919	657
583	920	655
584	921	653
585	922	652
586	923	650
587	924	647
588	925	646
589	926	644
590	927	642
591	929	640
592	929	638
593	930	636
594	931	634
595	932	632
596	933	630
597	934	628
598	935	626
599	936	624
600	937	622
601	938	620
602	939	618
603	940	616
604	941	614
605	942	612
606	943	610
607	944	609
608	945	607
609	946	605
610	947	603
611	948	601
612	949	599
613	950	597
614	951	595
615	952	593
616	953	591
617	954	589
618	955	587
619	956	586
620	957	584
621	958	582
622	959	580
623	960	578
624	961	576
625	962	574
626	962	572
627	963	571
628	964	569
629	965	567
630	966	565
631	967	563
632	968	561
633	969	559
634	970	558
635	972	556
636	973	554
637	974	552
638	974	550
639	975	548
640	976	547
641	977	545
642	978	543
643	979	541
644	980	539
645	981	537
646	982	536
647	983	534
648	984	532
649	985	530
650	986	529
651	987	527
652	988	525
653	989	523
654	990	521
655	991	520
656	992	518
657	993	516
658	994	514
659	995	512
660	996	511
661	997	509
662	998	507
663	999	505
664	1000	504
665	1001	502
666	1002	500
667	1003	498
668	1004	497
669	1005	495
670	1006	493
671	1007	491
672	1008	490
673	1009	488
674	1010	486
675	1011	484
676	1012	483
677	1013	481
678	1014	479
679	1015	478
680	1016	476
681	1017	474
682	1018	472
683	1019	471
684	1020	469
685	1021	467
686	1022	465
687	1023	464
688	1024	462
689	1025	460
690	1026	458
691	1027	457
692	1028	455
693	1029	453
694	1030	452
695	1031	450
696	1032	448
697	1033	447
698	1034	445
699	1035	443
700	1036	442
701	1037	440
702	1038	438
703	1039	437
704	1040	435
705	1041	433
706	1042	431
707	1043	430
708	1044	428
709	1045	427
710	1046	425
711	1047	423
712	1048	422
713	1049	420
714	1050	418
715	1051	417
716	1052	415
717	1053	413
718	1054	412
719	1055	410
720	1056	408
721	1057	407
722	1058	405
723	1060	404
724	1061	402
725	1062	401
726	1063	399
727	1064	397
728	1065	396
729	1066	394
730	1067	392
731	1068	391
732	1069	389
733	1070	387
734	1071	386
735	1072	384
736	1073	383
737	1074	381
738	1075	379
739	1076	378
740	1077	376
741	1078	374
742	1079	373
743	1080	371
744	1081	370
745	1082	368
746	1083	366
747	1084	365
748	1085	363
749	1086	362
750	1087	360
751	1088	358
752	1089	357
753	1090	355
754	1091	354
755	1092	352
756	1093	350
757	1094	349
758	1095	347
759	1096	346
760	1097	344
761	1098	343
762	1099	341
763	1100	339
764	1101	338
765	1101	336
766	1102	335
767	1103	333
768	1104	331
769	1105	330
770	1106	328
771	1107	327
772	1108	325
773	1109	324
774	1110	322
775	1111	320
776	1112	319
777	1113	317
778	1114	316
779	1115	314
780	1116	313
781	1117	311
782	1118	310
783	1119	308
784	1120	306
785	1121	305
786	1122	303
787	1123	302
788	1124	300
789	1125	299
790	1126	297
791	1127	296
792	1128	294
793	1129	293
794	1130	291
795	1131	289
796	1132	288
797	1133	286
798	1134	285
799	1135	283
800	1136	282
801	1137	280
802	1137	279
803	1138	277
804	1139	276
805	1140	274
806	1141	273
807	1142	271
808	1143	270
809	1144	268
810	1145	266
811	1146	265
812	1147	263
813	1148	262
814	1149	260
815	1150	259
816	1151	257
817	1151	256
818	1152	254
819	1153	253
820	1154	251
821	1155	250
822	1156	248
823	1157	247
824	1158	245
825	1159	244
826	1160	242
827	1161	241
828	1162	239
829	1163	238
830	1164	236
831	1165	235
832	1166	233
833	1167	232
834	1168	230
835	1169	229
836	1170	227
837	1171	226
838	1172	224
839	1173	223
840	1174	221
841	1175	220
842	1176	219
843	1177	217
844	1178	216
845	1179	214
846	1180	213
847	1180	211
848	1181	210
849	1182	208
850	1183	207
851	1184	205
852	1185	204
853	1186	202
854	1187	201
855	1188	199
856	1189	198
857	1190	197
858	1191	195
859	1192	194
860	1193	192
861	1194	191
862	1195	189
863	1196	188
864	1197	186
865	1198	185
866	1198	183
867	1199	182
868	1200	181
869	1201	179
870	1202	178
871	1203	176
872	1204	175
873	1205	173
874	1206	172
875	1207	170
876	1208	169
877	1209	168
878	1210	166
879	1211	165
880	1212	163
881	1213	162
882	1214	160
883	1215	159
884	1216	158
885	1217	156
886	1218	155
887	1219	153
888	1220	152
889	1221	150
890	1222	149
891	1223	148
892	1223	146
893	1224	145
894	1225	143
895	1226	142
896	1227	140
897	1228	139
898	1229	138
899	1230	136
900	1231	135
901	1232	133
902	1233	132
903	1234	131
904	1235	129
905	1236	128
906	1237	126
907	1238	125
908	1239	124
909	1240	122
910	1241	121
911	1241	119
912	1242	118
913	1243	117
914	1244	115
915	1245	114
916	1246	112
917	1247	111
918	1248	110
919	1249	108
920	1250	107
921	1251	105
922	1252	104
923	1253	103
924	1254	101
925	1255	100
926	1256	98
927	1257	97
928	1258	96
929	1258	94
930	1259	93
931	1260	91
932	1261	90
933	1262	89
934	1263	87
935	1264	86
936	1265	85
937	1266	83
938	1267	82
939	1268	80
940	1269	79
941	1270	78
942	1271	76
943	1272	75
944	1273	74
945	1274	72
946	1275	71
947	1276	69
948	1277	68
949	1277	67
950	1278	65
951	1279	64
952	1280	63
953	1281	61
954	1282	60
955	1283	59
956	1284	57
957	1285	56
958	1286	55
959	1287	53
960	1288	52
961	1289	50
962	1290	49
963	1291	48
964	1292	46
965	1293	45
966	1294	44
967	1295	42
968	1296	41
969	1297	40
970	1297	38
971	1298	37
972	1299	36
973	1300	34
974	1301	33
975	1302	32
976	1303	30
977	1304	29
978	1305	28
979	1306	26
980	1307	25
981	1308	23
982	1309	22
983	1310	21
984	1311	19
985	1312	18
986	1313	17
987	1314	15
988	1315	14
989	1316	13
990	1317	11
991	1318	10
992	1319	9
993	1320	7
994	1320	6
995	1321	5
996	1322	3
997	1323	2
998	1324	1
999	1325	0
